accuracy,loss,val_accuracy,val_loss,epoch
0.4717499911785126,1.082851767539978,0.5320000052452087,0.9970681667327881,1
0.43412500619888306,1.0257205963134766,0.24950000643730164,1.080487847328186,2
0.468874990940094,0.9932922124862671,0.24950000643730164,1.0360229015350342,3
0.46937501430511475,1.0017340183258057,0.3944999873638153,1.017372488975525,4
0.43712499737739563,0.9850283861160278,0.6019999980926514,0.8442390561103821,5
0.4622499942779541,0.9874998331069946,0.5945000052452087,0.9382891058921814,6
0.4560000002384186,0.9796997308731079,0.40799999237060547,0.9628614783287048,7
0.4816249907016754,0.9579982161521912,0.3569999933242798,1.0175105333328247,8
0.44737499952316284,0.9696552753448486,0.25949999690055847,1.0784986019134521,9
0.45625001192092896,0.9668521285057068,0.5625,0.9139583706855774,10
